Ano;NOME;Idade;PEDRA;INDE;IAN;IDA;IEG;IAA;IPS;IPP;IPV;PONTO_VIRADA
2020;ALUNO-187;7.526027397;2;6.41389;10;0;8;8.50002;7.5;7.916666667;7.111106667;0
2020;ALUNO-188;8.15890411;3;7.744167;10;9;4.7;7.08333;7.5;8.125;8.66667;1
2020;ALUNO-189;10.43835616;2;7.255835333;5;8;8.3;8.00002;5;7.291666667;7.333333333;0
2020;ALUNO-190;10.75342466;4;8.733751333;10;7.666666667;9.2;8.33334;6.875;9.0625;9.66667;1
2020;ALUNO-192;10.32328767;1;4.854723333;5;0;5.1;7.41668;5;6.041666667;7.444443333;0
2020;ALUNO-193;10.98630137;4;8.539168667;10;7;9.8;10.00002;5;8.125;9.333333333;1
2020;ALUNO-194;9.589041096;2;7.121459667;5;6.333333333;8.3;8.33334;6.875;7.65625;7.04167;0
2020;ALUNO-197;9.876712329;4;8.832500667;10;8.666666667;9.6;8.33334;7.5;8.958333333;8.5;0
2020;ALUNO-198;9.991780822;1;5.518958;10;4.5;6.1;0;5.625;5.78125;6.291665;0
2020;ALUNO-199;10.22739726;2;6.658610667;5;7.666666667;4.8;6.25;7.5;8.125;7.388886667;0
2020;ALUNO-200;9.945205479;3;7.355834833;10;5.666666667;5.8;7.91667;7.5;8.125;8.5416725;0
2020;ALUNO-201;11.62739726;3;7.7185415;5;8;9.4;7.08333;7.5;7.96875;7.4166675;0
2020;ALUNO-202;11.24657534;1;3.779998667;5;0;2.9;0;6.875;6.458333333;6.833326667;0
2020;ALUNO-206;11.62465753;1;5.2162495;10;2;4.3;0;7.5;7.8125;7.1249975;0
2020;ALUNO-208;10.9260274;3;7.842502;10;5;9.4;9.00002;7.5;8.125;7.5;0
2020;ALUNO-209;9.706849315;4;9.075004;5;10;10;9.50002;6.25;10;10.00001;1
2020;ALUNO-210;13.05753425;3;8.213058667;10;5.666666667;9.1;10.00002;7.5;8.541666667;8.277783333;0
2020;ALUNO-212;9.194520548;2;6.345836;10;7;10;7.41668;4.375;2.5;2.58334;0
2020;ALUNO-213;8.347945205;3;8.081669333;5;9;9.7;9.00002;5;8.75;7.833336667;0
2020;ALUNO-215;10.41643836;4;8.874585;10;10;9.3;9.50002;7.5;7.8125;7.666665;0
2020;ALUNO-217;10.84383562;4;8.942503;10;9.5;9.4;8.00002;7.5;8.125;9.000005;1
2020;ALUNO-219;12.16712329;3;7.832085;10;5;7.9;9.50002;8.75;8.4375;7.916665;0
2020;ALUNO-222;9.106849315;4;8.478752;10;9.5;7.8;9.00002;7.5;7.1875;8.25;0
2020;ALUNO-223;8.575342466;2;6.59278;5;5;5.2;9.00002;6.875;8.541666667;8.055556667;0
2020;ALUNO-225;10.37534247;4;8.845558333;10;8.333333333;9.7;9.58335;7.5;8.75;8.277783333;0
2020;ALUNO-226;9.342465753;3;7.849446667;10;7.5;7.4;8.50002;5.625;8.125;8.222223333;0
2020;ALUNO-227;9.249315068;1;5.981250167;5;6.333333333;3;8.75001;7.5;7.8125;6.0416625;0
2020;ALUNO-229;9.449315068;1;5.890556;5;0;7.8;7.33334;7.5;7.916666667;7.777776667;0
2020;ALUNO-230;10.35890411;1;5.004722333;5;2.333333333;6.1;8.75001;4.375;5.833333333;4.611106667;0
2020;ALUNO-231;10.50136986;1;5.959792167;10;4.333333333;3.7;8.33334;5;7.03125;6.5833325;0
2020;ALUNO-235;10.74246575;3;8.125001833;10;7.666666667;9;8.33335;7.5;7.5;7.2916675;0
2020;ALUNO-238;11.20821918;2;6.492502;5;4;8.4;9.00002;5;5.625;7.75;0
2020;ALUNO-241;13.24383562;3;7.285002;5;9.5;8.8;9.00002;6.25;2.5;6.75;0
2020;ALUNO-242;13.65205479;2;6.707085;5;5.5;7.4;9.00002;6.25;7.1875;6.916665;0
2020;ALUNO-246;9.715068493;3;7.639168667;5;8;8.3;9.50002;6.875;7.083333333;7.666666667;0
2020;ALUNO-251;10.75342466;4;8.575835333;10;10;8.9;8.50002;7.5;7.291666667;7.333333333;0
2020;ALUNO-259;10.22739726;4;8.753335833;10;7.666666667;9.1;9.16668;7.5;8.75;9.2916725;1
2020;ALUNO-261;10.28219178;2;7.251668667;2.5;6.333333333;8.8;9.16668;7.5;7.5;7.79167;0
2020;ALUNO-262;10.24931507;3;8.221251333;10;6.666666667;9.2;7.91667;5;9.0625;9.250005;1
2020;ALUNO-263;11.41643836;3;8.386113667;10;6.333333333;9.5;9.58335;6.875;8.958333333;8.388893333;0
2020;ALUNO-265;8.873972603;3;7.630557667;5;6;10;8.75001;6.875;8.125;7.777783333;0
2020;ALUNO-266;10.54246575;3;8.336252;10;8.5;8.9;8.50002;5.625;8.4375;8;0
2020;ALUNO-267;12.09041096;3;8.370558667;5;8;9.7;9.16668;5.625;8.958333333;9.777786667;1
2020;ALUNO-269;12.47671233;2;7.099168667;5;5.75;8.6;7.50002;7.5;7.291666667;7.5;0
2020;ALUNO-270;10.6;2;7.190001;10;8.666666667;4.2;6.66667;4.375;8.125;8.500003333;0
2020;ALUNO-273;10.32876712;1;4.386945333;2.5;0;4.4;9.00002;7.5;7.291666667;4.388883333;0
2020;ALUNO-274;10.48493151;2;6.113055667;5;3.666666667;5.6;7.91667;7.5;7.291666667;7.444443333;0
2020;ALUNO-275;10.49041096;2;6.399376667;10;4.333333333;5.2;10.00002;7.5;6.09375;5.666665;0
2020;ALUNO-277;13.29863014;3;8.01889;5;10;8.4;9.50002;5.625;7.708333333;7.777773333;0
2020;ALUNO-278;10.35616438;3;8.240834333;5;7.333333333;9.6;8.75001;9.375;8.75;8.333333333;0
2020;ALUNO-280;10.45753425;2;6.646252;5;6.5;6.2;8.50002;5;6.5625;8;0
2020;ALUNO-284;12.01643836;3;7.901875833;5;7.666666667;9.9;7.91667;7.5;7.96875;7.7500025;0
2020;ALUNO-285;11.64383562;1;5.112502;10;1;0;9.50002;7.5;8.125;7;0
2020;ALUNO-286;9.98630137;2;6.956252;5;7.5;6;8.00002;6.875;7.1875;7.75;0
2020;ALUNO-287;10.86575342;3;8.302085;10;7.5;8.5;7.41668;7.5;8.4375;8.833335;1
2020;ALUNO-288;12.40547945;2;6.840002;5;3.75;7.7;9.00002;7.5;8.333333333;7.833333333;0
2020;ALUNO-292;11.24383562;4;8.485558667;5;7.666666667;9.9;10.00002;6.875;8.958333333;9.44445;1
2020;ALUNO-293;14.00821918;1;4.4162505;10;0;1.3;6.66667;4.375;7.1875;6.6666675;0
2020;ALUNO-295;11.24383562;3;7.586252;10;7.25;8.9;9.00002;4.375;4.6875;7.75;0
2020;ALUNO-296;12.96438356;3;7.713335;10;5;8.9;9.00002;7.5;7.5;7.666665;0
2020;ALUNO-297;8.884931507;2;7.201112;5;6;8.7;8.33334;4.375;8.125;8.38889;0
2020;ALUNO-298;11.07671233;2;6.336669;5;6.5;6.6;8.50002;5;5;6.833335;0
2020;ALUNO-301;10.95616438;4;8.848335333;10;9.5;9.2;10.00002;7.5;7.916666667;7.833333333;0
2020;ALUNO-305;12.29863014;3;7.361390667;5;6.5;8.3;8.50002;7.5;6.458333333;8.277776667;0
2020;ALUNO-306;8.238356164;1;3.89146;10;0;1.4;6.66667;4.375;5.15625;4.95834;0
2020;ALUNO-309;12.28767123;3;8.200002;10;10;6.5;8.50002;7.5;7.5;7.75;0
2020;ALUNO-312;10.96712329;4;8.508890667;10;8.5;9.1;10.00002;7.5;5.833333333;8.277776667;0
2020;ALUNO-313;10.56164384;3;7.900001;10;6.5;10;7.50002;7.5;7.5;6.749995;0
2020;ALUNO-315;10.10684932;4;9.461114667;10;8.666666667;10;9.16668;9.375;8.958333333;9.8889;1
2020;ALUNO-316;11.50136986;2;6.427501;10;0;7.7;7.41668;7.5;8.125;7.916665;0
2020;ALUNO-318;9.010958904;3;8.300001;5;10;10;9.00002;7.5;7.5;6.999995;0
2020;ALUNO-319;12.95890411;2;7.183335;10;2;9.5;9.00002;7.5;7.5;7.416665;0
2020;ALUNO-321;8.112328767;1;4.9156245;10;2;2;4.58334;7.5;6.40625;6.3333275;0
2020;ALUNO-323;10.69589041;1;6.053335;5;4.5;9.1;8.00002;5;2.5;6.416665;0
2020;ALUNO-324;10.84109589;3;8.064375833;10;6.666666667;7.9;8.75001;7.5;8.59375;8.3333325;0
2020;ALUNO-328;11.77534247;2;6.858541;5;9;4.1;7.5;7.5;7.96875;7.20833;0
2020;ALUNO-329;10.3369863;3;7.9835415;10;7;8.6;7.91667;7.5;7.96875;7.6249975;0
2020;ALUNO-330;11.6109589;3;7.680002;5;8.5;7.9;8.00002;7.5;7.5;8;0
2020;ALUNO-332;11.86849315;3;8.258057333;5;10;9.2;9.50002;7.5;7.291666667;7.444443333;0
2020;ALUNO-335;12.0739726;3;7.470837;10;9.5;10;8.50002;4.375;2.5;5.166675;0
2020;ALUNO-337;9.898630137;4;8.952223333;10;7;9.9;8.33334;10;9.166666667;9.111113333;1
2020;ALUNO-338;11.4739726;1;5.912708167;10;4.333333333;2.1;8.33334;7.5;7.34375;6.5416625;0
2020;ALUNO-339;10.16164384;3;8.137224;5;7.333333333;9.7;9.16668;7.5;8.75;8.444446667;0
2020;ALUNO-340;9.808219178;3;7.595277333;5;7;9.4;8.33334;7.5;8.541666667;6.888883333;0
2020;ALUNO-342;9.854794521;3;8.133752;10;8;9.2;9.00002;5.625;5.3125;8.5;0
2020;ALUNO-343;10.87945205;3;7.582500667;2.5;8;8.1;7.5;7.5;8.125;9.000003333;1
2020;ALUNO-344;10.04109589;1;4.348541;10;0;3.8;0;5;6.71875;7.08333;0
2020;ALUNO-345;12.14520548;4;8.5;10;10;10;8.50002;7.5;7.5;5.74999;0
2020;ALUNO-346;10.80821918;3;8.418752;10;9.5;8;9.00002;7.5;7.1875;7.75;0
2020;ALUNO-348;13.02465753;3;7.79167;5;9.5;10;9.50002;6.25;2.5;7.83334;0
2020;ALUNO-349;11.83287671;4;9.200004;5;10;10;9.50002;7.5;10;10.00001;1
2020;ALUNO-353;12.02191781;2;7.165556667;5;6;8.3;10.00002;6.25;7.916666667;6.94444;0
2020;ALUNO-354;11.9890411;1;4.656042;5;0;3.4;9.16668;4.375;7.96875;6.624995;0
2020;ALUNO-355;11.58630137;2;6.407502;5;4;8.1;7.50002;5;7.708333333;7.333333333;0
2020;ALUNO-359;8.808219178;3;8.175279333;10;7;9.3;8.50002;7.5;7.708333333;7.72222;0
2020;ALUNO-361;8.890410959;1;5.668335;10;0;4.3;9.00002;5.625;8.125;7.666665;0
2020;ALUNO-364;11.01643836;3;7.813335;10;7.5;9.9;9.00002;4.375;5.625;7.166665;0
2020;ALUNO-365;7.97260274;3;8.396044333;10;6.666666667;9.6;9.58335;5;8.59375;9.125005;1
2020;ALUNO-367;9.550684932;3;8.325834667;10;6.666666667;9.4;9.16668;7.5;8.125;8.166666667;0
2020;ALUNO-370;9.150684932;4;8.613335;10;6.5;9.9;8.75001;7.5;8.75;9.16667;1
2020;ALUNO-371;7.854794521;3;7.379792667;10;7.333333333;7.8;7.91667;5;5.78125;7.41667;0
2020;ALUNO-372;9.476712329;2;6.816668;5;6;8;9.00002;5;7.5;6.83333;0
2020;ALUNO-373;8.093150685;2;6.216666833;5;5.666666667;5;8.75001;5.625;8.125;6.6666625;0
2020;ALUNO-375;8.17260274;4;9.33542;10;9.5;9.5;9.00002;7.5;9.6875;9.58334;1
2020;ALUNO-377;7.975342466;3;7.412223;10;6;6.7;9.58335;4.375;8.541666667;8.111106667;0
2020;ALUNO-378;8.747945205;3;7.969167;10;7;9.7;7.91667;3.75;8.125;8.25;0
2020;ALUNO-379;7.317808219;1;5.6825;5;4.166666667;6.6;10.00002;5;5.625;4.833323333;0
2020;ALUNO-381;8.232876712;2;6.443336;5;8.5;9.8;9.50002;2.5;2.5;4.16667;0
2020;ALUNO-383;7.128767123;3;7.918752;5;7.5;10;9.50002;6.875;7.8125;7.5;0
2020;ALUNO-385;9.197260274;3;7.338057;5;6;8.6;8.75001;7.5;7.708333333;7.611113333;0
2020;ALUNO-387;9.556164384;2;6.289445333;5;6;5.6;9.00002;4.375;6.875;7.222216667;0
2020;ALUNO-388;8.323287671;2;7.041945333;5;5.5;8.8;8.00002;7.5;6.875;7.222216667;0
2020;ALUNO-389;8.720547945;3;8.404168667;5;9.333333333;9;8.33334;7.5;8.541666667;9.000006667;1
2020;ALUNO-390;12.82739726;3;7.425278667;10;7.666666667;5.3;8.33334;7.5;7.708333333;7.38889;0
2020;ALUNO-393;11.65753425;2;7.212501333;10;4.25;7.5;9.00002;6.875;7.083333333;7.83333;0
2020;ALUNO-394;8.42739726;1;5.934999667;5;6.333333333;5.3;7.5;5;6.25;6.166665;0
2020;ALUNO-396;9.230136986;3;7.454722;5;8;9.1;7.5;7.5;8.125;6.11111;0
2020;ALUNO-397;10.43013699;3;7.687500833;10;6.666666667;9.5;9.16668;4.375;7.5;6.7499975;0
2020;ALUNO-399;10.43013699;1;4.233888;5;0;4.6;0;6.875;7.708333333;6.777773333;0
2020;ALUNO-400;10.11506849;1;4.864168667;5;0;4.3;9.00002;3.75;7.291666667;7.5;0
2020;ALUNO-401;10.99452055;3;8.410210333;10;6.166666667;9.9;9.58335;7.5;7.96875;8.458335;0
2020;ALUNO-404;11.14246575;3;8.318544833;10;6.666666667;9.9;10.00002;4.375;8.59375;8.5416725;0
2020;ALUNO-406;9.632876712;3;7.978752;5;9.5;8.8;9.00002;7.5;7.1875;7.25;0
2020;ALUNO-407;8.320547945;3;8.289376333;10;7.666666667;9.9;5.83333;5;8.59375;9.166675;1
2020;ALUNO-408;7.389041096;4;9.316669;10;10;10;9.00002;10;7.5;8.333335;0
2020;ALUNO-414;10.36438356;1;5.773612;5;0;8;6.91668;7.5;8.541666667;6.888886667;0
2020;ALUNO-416;12.4630137;3;7.780279333;5;7;9.7;9.00002;6.25;7.708333333;8.22222;0
2020;ALUNO-421;11.1260274;2;7.137293833;5;7.666666667;5.9;9.58335;7.5;7.65625;7.2500025;0
2020;ALUNO-424;8.095890411;3;7.912085;5;9;8.8;9.00002;7.5;7.1875;7.416665;0
2020;ALUNO-425;14.36712329;2;7.131665667;10;7.333333333;6.2;8.75001;7.5;6.666666667;5.666656667;0
2020;ALUNO-426;11.52876712;2;6.645835333;5;5;6.5;8.00002;7.5;7.291666667;7.833333333;0
2020;ALUNO-431;11.19726027;2;6.814172;5;8.5;9.8;9.50002;6.875;2.5;3.83335;0
2020;ALUNO-435;13.55616438;3;7.312779667;5;5.333333333;8.8;7.50001;7.5;8.75;8.05556;0
2020;ALUNO-437;10.6;3;7.808335333;10;5.5;8.5;10.00002;7.5;7.916666667;7.333333333;0
2020;ALUNO-439;11.95616438;1;4.931111667;5;0;3.6;9.58335;7.5;7.916666667;6.05555;0
2020;ALUNO-441;11.06849315;3;7.599446;10;8.5;7.4;9.50002;6.25;5;6.72222;0
2020;ALUNO-442;12.33150685;3;8.216668;5;9.5;10;8.50002;7.5;7.5;7.33333;0
2020;ALUNO-443;8.104109589;3;7.670558;5;6;9.7;8.50002;7.5;8.75;7.77778;0
2020;ALUNO-445;7.857534247;2;6.662085;5;4.75;6.3;9.00002;7.5;7.1875;7.916665;0
2020;ALUNO-447;12.03561644;2;7;5;9.5;10;8.50002;5;2.5;4.99999;0
2020;ALUNO-448;9.22739726;3;7.510557333;10;1.5;8.9;9.50002;9.375;8.541666667;8.444443333;0
2020;ALUNO-449;11.12328767;4;8.745557333;10;10;9.2;9.50002;7.5;7.5;7.277776667;0
2020;ALUNO-450;12.80547945;2;6.957083833;5;6.666666667;6.4;7.91667;7.5;8.4375;7.2916675;0
2020;ALUNO-451;8.654794521;3;7.322224;10;4.5;8;9.00002;6.25;7.083333333;7.944443333;0
2020;ALUNO-453;13.14520548;1;5.682502;5;0;6.1;8.50002;7.5;8.125;7.75;0
2020;ALUNO-455;12.46575342;4;8.586392;10;7;9.3;9.50002;7.5;7.708333333;9.277783333;1
2020;ALUNO-457;13.45479452;1;5.911668667;10;0;7.1;8.00002;5.625;5.625;7.833333333;0
2020;ALUNO-458;8.942465753;1;5.535835333;5;0;6.2;8.50002;7.5;7.291666667;7.333333333;0
2020;ALUNO-459;8.701369863;1;5.938332667;5;3.666666667;6.9;6.66666;3.125;8.125;7.666666667;0
2020;ALUNO-460;10.5369863;3;8.113544167;10;6.333333333;9;9.58335;4.375;8.59375;8.9583375;1
2020;ALUNO-462;12.31506849;2;7.248334333;5;6;8.2;7.91667;7.5;8.333333333;7.66667;0
2020;ALUNO-463;8.254794521;3;8.291043;10;8;9.7;8.75001;5;8.59375;7.583335;0
2020;ALUNO-464;11.72876712;2;6.841113667;10;0;8.4;9.58335;7.5;8.75;7.888893333;0
2020;ALUNO-466;12.10958904;1;5.782291333;5;5.166666667;6.5;0;6.25;7.65625;7.791665;0
2020;ALUNO-467;9.649315068;2;6.622918;5;3.75;7.5;9.50002;6.875;7.1875;7.58333;0
2020;ALUNO-468;8.673972603;3;7.426390667;5;9;7.5;9.50002;5;6.875;7.444443333;0
2020;ALUNO-469;8.536986301;3;8.347085;10;8;9.1;8.75001;6.875;7.8125;7.91667;0
2020;ALUNO-472;9.095890411;3;8.223057333;5;9.5;8.9;9.00002;7.5;7.708333333;8.11111;0
2020;ALUNO-473;9.506849315;3;7.809445333;5;10;7.7;9.50002;6.875;6.875;7.222216667;0
